iter	Logloss
0	0.6702433573
1	0.649449056
2	0.6307257894
3	0.6133442688
4	0.5984948781
5	0.5839116364
6	0.5708194529
7	0.5592621002
8	0.5485007884
9	0.5390984904
10	0.5303421987
11	0.5223825785
12	0.5147678782
13	0.5077506917
14	0.5016808319
15	0.4959132843
16	0.490657191
17	0.4858058472
18	0.4812639974
19	0.4772892049
20	0.4733886108
21	0.4699980418
22	0.4669310659
23	0.4640531616
24	0.4615630493
25	0.4591876221
26	0.4568469493
27	0.4545850932
28	0.4527285156
29	0.4508249156
30	0.4490236003
31	0.4475473073
32	0.4460832265
33	0.4447540639
34	0.4432308044
35	0.4421321665
36	0.4410468394
37	0.4400229594
38	0.4389216003
39	0.4380255941
40	0.4372489522
41	0.436334844
42	0.4356087596
43	0.4349111938
44	0.4342277018
45	0.4337011871
46	0.4332247569
47	0.4326969859
48	0.4322139842
49	0.4316264648
50	0.4311023254
51	0.4306623179
52	0.4302962545
53	0.4298790741
54	0.4294894002
55	0.4290898844
56	0.4287058716
57	0.4285286306
58	0.4281998851
59	0.4279341736
60	0.4276559245
61	0.4274017741
62	0.4271718648
63	0.4268930817
64	0.4266507517
65	0.4264016774
66	0.4261383413
67	0.4259433085
68	0.4257714233
69	0.4255152893
70	0.4253092906
71	0.4251396281
72	0.4249958852
73	0.4248677775
74	0.4245886434
75	0.424395167
76	0.4241888021
77	0.4239505412
78	0.4236809845
79	0.4235682882
80	0.4233346965
81	0.4231591543
82	0.4229793752
83	0.4227427216
84	0.4225414886
85	0.4223169556
86	0.4221997782
87	0.4220674896
88	0.4219514364
89	0.4218142395
90	0.421629425
91	0.4214800161
92	0.421291158
93	0.4211535645
94	0.4209910634
95	0.4208176676
96	0.4207124074
97	0.4205958862
98	0.4204492137
99	0.4202528687
100	0.4200655772
101	0.4198652802
102	0.4197372945
103	0.4195879873
104	0.4194642131
105	0.4193427327
106	0.4192434336
107	0.4191153056
108	0.4189376882
109	0.4188315125
110	0.4186601308
111	0.4185811717
112	0.418479894
113	0.4183565725
114	0.4182394002
115	0.4181218872
116	0.4180596161
117	0.4179395955
118	0.4178045553
119	0.417720342
120	0.4176511841
121	0.4175222015
122	0.4174272461
123	0.4172861226
124	0.4171791331
125	0.4170555166
126	0.4169401398
127	0.4168305562
128	0.4167114105
129	0.4165895538
130	0.4165152079
131	0.4164440715
132	0.4163189494
133	0.4162172343
134	0.4161100566
135	0.4159914246
136	0.4158518117
137	0.4157124278
138	0.4156038818
139	0.4155088552
140	0.415375885
141	0.4153171285
142	0.4151777242
143	0.41511291
144	0.414979009
145	0.4148668009
146	0.4148173319
147	0.4146119843
148	0.4144516246
149	0.4143116252
150	0.4142277883
151	0.4141542867
152	0.4140749563
153	0.4139680278
154	0.4138371989
155	0.4137700907
156	0.4136654917
157	0.4135202688
158	0.4133588511
159	0.4132548981
160	0.413124705
161	0.4130384776
162	0.4129520772
163	0.4128562775
164	0.4127917582
165	0.4126507416
166	0.4125495809
167	0.4124678548
168	0.4123203888
169	0.4122172089
170	0.4121157379
171	0.4119987996
172	0.4119453735
173	0.4118504639
174	0.4117033997
175	0.4115678507
176	0.411438914
177	0.4113486633
178	0.4112565867
179	0.4111831207
180	0.4110985667
181	0.4109870148
182	0.4108458405
183	0.4107302755
184	0.4106334279
185	0.4105454407
186	0.4104547119
187	0.4103046061
188	0.4102148641
189	0.4101229146
190	0.4100567118
191	0.4099141337
192	0.4098636475
193	0.4097644958
194	0.409676295
195	0.4095777283
196	0.4095234985
197	0.4094707743
198	0.4093746694
199	0.4092627157
200	0.4091826833
201	0.4091133118
202	0.409003835
203	0.4089404348
204	0.4088380483
205	0.4087438812
206	0.4086403147
207	0.4085496114
208	0.40841834
209	0.4082966156
210	0.4082184397
211	0.4081435293
212	0.4080922597
213	0.4080267232
214	0.4079235128
215	0.4077922312
216	0.4077468465
217	0.4076598002
218	0.4075773315
219	0.4074993032
220	0.4074411469
221	0.4073242137
222	0.407243103
223	0.4071154327
224	0.4070371145
225	0.4069758606
226	0.406926005
227	0.4068618113
228	0.4068100586
229	0.4067249196
230	0.4066536662
231	0.40658697
232	0.4065039266
233	0.4064151459
234	0.4063643341
235	0.4062263997
236	0.4061425425
237	0.406049413
238	0.40589416
239	0.4057920787
240	0.405705541
241	0.4056092784
242	0.4055108999
243	0.405372935
244	0.4052419281
245	0.4051104635
246	0.4050311941
247	0.4048931325
248	0.4047979431
249	0.4046499685
250	0.404540273
251	0.404419047
252	0.4042724813
253	0.4041377869
254	0.4040034892
255	0.4039101613
256	0.4037722931
257	0.4037012685
258	0.4035738475
259	0.4034363658
260	0.4033265279
261	0.4032639618
262	0.4031454875
263	0.4030485382
264	0.4029700063
265	0.402868337
266	0.4027720693
267	0.4026850179
268	0.4025700887
269	0.4025075582
270	0.4024069875
271	0.4022931875
272	0.4022230428
273	0.4020934906
274	0.4020230001
275	0.4019548442
276	0.4018670095
277	0.4017916056
278	0.4016948497
279	0.4015311635
280	0.401428421
281	0.4013147888
282	0.4011946767
283	0.4010887349
284	0.401014801
285	0.4008786418
286	0.4008043722
287	0.4007104797
288	0.4005641886
289	0.4004526978
290	0.400377121
291	0.4002693837
292	0.4001977234
293	0.4000953979
294	0.3999960632
295	0.39987323
296	0.39976946
297	0.3996643066
298	0.3995661875
299	0.3994705912
300	0.3993811188
301	0.3992854411
302	0.3992233785
303	0.3991578979
304	0.3990355174
305	0.3989409078
306	0.3987889557
307	0.3986463013
308	0.3985171509
309	0.3984287262
310	0.3983194529
311	0.3981582031
312	0.3981101634
313	0.398025533
314	0.3978993988
315	0.3977964172
316	0.3976719411
317	0.3975811768
318	0.3974676005
319	0.3973612213
320	0.3972078908
321	0.3971328786
322	0.3970130208
323	0.3969161174
324	0.3968368276
325	0.396734314
326	0.3965922597
327	0.3965328878
328	0.3963759816
329	0.396233607
330	0.396105957
331	0.3959763082
332	0.3959027252
333	0.3957953389
334	0.3956658885
335	0.3955255025
336	0.3954345907
337	0.3952987366
338	0.3952355296
