iter	Passed	Remaining
0	16	16573
1	20	10424
2	24	8233
3	29	7288
4	33	6734
5	39	6504
6	43	6237
7	48	6048
8	53	5917
9	68	6770
10	81	7291
11	100	8285
12	111	8435
13	120	8493
14	131	8622
15	143	8803
16	152	8807
17	161	8828
18	173	8949
19	183	9005
20	195	9120
21	209	9334
22	221	9403
23	231	9424
24	242	9475
25	254	9516
26	263	9501
27	273	9478
28	282	9443
29	290	9394
30	299	9364
31	313	9486
32	323	9493
33	331	9411
34	336	9276
35	341	9136
36	346	9009
37	351	8908
38	357	8799
39	363	8725
40	370	8669
41	375	8564
42	380	8469
43	385	8375
44	390	8279
45	395	8195
46	403	8171
47	408	8096
48	418	8115
49	435	8267
50	445	8292
51	457	8337
52	470	8408
53	482	8445
54	494	8503
55	506	8541
56	521	8623
57	528	8588
58	540	8623
59	553	8675
60	564	8695
61	578	8752
62	589	8773
63	601	8797
64	613	8818
65	627	8874
66	638	8897
67	649	8902
68	659	8900
69	669	8888
70	677	8867
71	689	8881
72	707	8980
73	716	8966
74	728	8983
75	738	8975
76	748	8968
77	756	8942
78	767	8943
79	777	8943
80	787	8932
81	799	8951
82	810	8959
83	822	8971
84	838	9025
85	845	8981
86	849	8917
87	855	8866
88	860	8804
89	864	8743
90	870	8692
91	877	8657
92	882	8607
93	888	8560
94	893	8513
95	898	8464
96	904	8417
97	910	8382
98	916	8338
99	920	8288
100	925	8240
101	930	8193
102	935	8150
103	940	8105
104	946	8067
105	951	8024
106	956	7985
107	961	7941
108	966	7899
109	971	7857
110	976	7818
111	981	7784
112	987	7749
113	992	7709
114	996	7668
115	1001	7630
116	1006	7596
117	1012	7565
118	1018	7541
119	1023	7509
120	1028	7473
121	1034	7445
122	1042	7431
123	1047	7401
124	1053	7376
125	1058	7343
126	1063	7310
127	1068	7277
128	1073	7247
129	1078	7218
130	1083	7188
131	1088	7158
132	1093	7126
133	1099	7103
134	1104	7074
135	1109	7049
136	1114	7022
137	1121	7002
138	1130	7003
139	1136	6983
140	1142	6957
141	1146	6930
142	1152	6904
143	1158	6886
144	1164	6867
145	1170	6843
146	1174	6815
147	1180	6794
148	1185	6771
149	1190	6747
150	1196	6726
151	1201	6703
152	1206	6679
153	1212	6659
154	1218	6644
155	1224	6622
156	1229	6599
157	1234	6581
158	1241	6568
159	1247	6551
160	1253	6530
161	1257	6506
162	1263	6486
163	1268	6467
164	1273	6446
165	1279	6428
166	1284	6406
167	1289	6386
168	1294	6364
169	1299	6345
170	1304	6323
171	1309	6302
172	1313	6279
173	1318	6259
174	1323	6238
175	1328	6220
176	1333	6201
177	1338	6180
178	1343	6161
